countyfp,key,value,quarter,year.quarter,Name,Dem_Desc,edr,planning.region,mif
019,avgemp,32612,1,2012.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
021,avgemp,11452,1,2021.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,9641,1,2020.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,9513,1,2019.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,9451,1,2018.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,9369,1,2017.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,9023,1,2016.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,8965,1,2015.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,8936,1,2014.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,8789,1,2013.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
021,avgemp,8471,1,2012.1,Cass,Town/rural mix,EDR 5 - North Central,Northwest,EC
023,avgemp,5224,1,2021.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5525,1,2020.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5689,1,2019.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5585,1,2018.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5691,1,2017.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5484,1,2016.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5474,1,2015.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5545,1,2014.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5452,1,2013.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
023,avgemp,5596,1,2012.1,Chippewa,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW
025,avgemp,15158,1,2021.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,15553,1,2020.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,15079,1,2019.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,15042,1,2018.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,14968,1,2017.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,14677,1,2016.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,14337,1,2015.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,13709,1,2014.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,13692,1,2013.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
025,avgemp,13302,1,2012.1,Chisago,Entirely urban,EDR 7E- East Central,Central,EC
027,avgemp,18152,1,2021.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,19049,1,2020.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,18698,1,2019.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,18699,1,2018.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,18453,1,2017.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,18101,1,2016.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,17830,1,2015.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,18006,1,2014.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,17856,1,2013.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
027,avgemp,17294,1,2012.1,Clay,Entirely urban,EDR 4 - West Central,Northwest,WC
029,avgemp,2377,1,2021.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2457,1,2020.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2521,1,2019.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2506,1,2018.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2627,1,2017.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2712,1,2016.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2586,1,2015.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2481,1,2014.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2461,1,2013.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
029,avgemp,2356,1,2012.1,Clearwater,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
031,avgemp,2249,1,2021.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2543,1,2020.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2571,1,2019.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2524,1,2018.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2603,1,2017.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2507,1,2016.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2602,1,2015.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2440,1,2014.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2423,1,2013.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
031,avgemp,2406,1,2012.1,Cook,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
033,avgemp,5541,1,2021.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,5253,1,2020.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,5000,1,2019.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4899,1,2018.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4565,1,2017.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4477,1,2016.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4759,1,2015.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4748,1,2014.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,4932,1,2013.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
033,avgemp,5011,1,2012.1,Cottonwood,Town/rural mix,EDR 8 - Southwest,Southwest,SW
035,avgemp,27019,1,2021.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,28281,1,2020.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,28268,1,2019.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,28250,1,2018.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,27897,1,2017.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,27160,1,2016.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,26819,1,2015.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,26665,1,2014.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,26267,1,2013.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
035,avgemp,25112,1,2012.1,Crow Wing,Town/rural mix,EDR 5 - North Central,Northwest,EC
037,avgemp,174781,1,2021.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,187786,1,2020.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,187563,1,2019.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,186998,1,2018.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,184797,1,2017.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,183196,1,2016.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,179847,1,2015.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,175588,1,2014.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,173478,1,2013.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
037,avgemp,168482,1,2012.1,Dakota,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
039,avgemp,5477,1,2021.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5929,1,2020.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5865,1,2019.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5894,1,2018.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5745,1,2017.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5801,1,2016.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5667,1,2015.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5312,1,2014.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5202,1,2013.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
039,avgemp,5076,1,2012.1,Dodge,Entirely urban,EDR 10 - Southeast,Southeast,SE
041,avgemp,18091,1,2021.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,18835,1,2020.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,18654,1,2019.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,18127,1,2018.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,18076,1,2017.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,17659,1,2016.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,17394,1,2015.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,17149,1,2014.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,17002,1,2013.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
041,avgemp,16664,1,2012.1,Douglas,Town/rural mix,EDR 4 - West Central,Northwest,WC
043,avgemp,4160,1,2021.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4309,1,2020.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4332,1,2019.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4298,1,2018.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4424,1,2017.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4541,1,2016.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4647,1,2015.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4662,1,2014.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4770,1,2013.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
043,avgemp,4904,1,2012.1,Faribault,Town/rural mix,EDR 9 - South Central,Southwest,SE
045,avgemp,5803,1,2021.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5900,1,2020.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5824,1,2019.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5788,1,2018.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5870,1,2017.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5795,1,2016.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5750,1,2015.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5649,1,2014.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5676,1,2013.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
045,avgemp,5716,1,2012.1,Fillmore,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11176,1,2021.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11963,1,2020.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11859,1,2019.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11795,1,2018.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,12013,1,2017.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11977,1,2016.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11989,1,2015.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11960,1,2014.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11920,1,2013.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
047,avgemp,11958,1,2012.1,Freeborn,Town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,19676,1,2021.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21056,1,2020.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21235,1,2019.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21280,1,2018.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21317,1,2017.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21152,1,2016.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21182,1,2015.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21439,1,2014.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21118,1,2013.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
049,avgemp,21064,1,2012.1,Goodhue,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
051,avgemp,1746,1,2021.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1817,1,2020.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1851,1,2019.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1844,1,2018.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1779,1,2017.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1788,1,2016.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1821,1,2015.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1836,1,2014.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1756,1,2013.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
051,avgemp,1750,1,2012.1,Grant,Entirely rural,EDR 4 - West Central,Northwest,WC
053,avgemp,855485,1,2021.1,Hennepin,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
053,avgemp,931104,1,2020.1,Hennepin,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
053,avgemp,926176,1,2019.1,Hennepin,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
053,avgemp,918958,1,2018.1,Hennepin,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
