periodyear,areaname,key,value,quarter,year.quarter
2011,Minnesota,avgemp,2640552,4,2011.4
2010,Minnesota,avgemp,2599318,4,2010.4
2009,Minnesota,avgemp,2575735,4,2009.4
2008,Minnesota,avgemp,2685667,4,2008.4
2007,Minnesota,avgemp,2715221,4,2007.4
2006,Minnesota,avgemp,2700248,4,2006.4
2005,Minnesota,avgemp,2682485,4,2005.4
2004,Minnesota,avgemp,2642462,4,2004.4
2003,Minnesota,avgemp,2600609,4,2003.4
2002,Minnesota,avgemp,2610220,4,2002.4
2001,Minnesota,avgemp,2619357,4,2001.4
2021,Minnesota,avg_estab,180279,1,2021.1
2020,Minnesota,avg_estab,178294,1,2020.1
2019,Minnesota,avg_estab,173945,1,2019.1
2018,Minnesota,avg_estab,171245,1,2018.1
2017,Minnesota,avg_estab,163494,1,2017.1
2016,Minnesota,avg_estab,158164,1,2016.1
2015,Minnesota,avg_estab,162451,1,2015.1
2014,Minnesota,avg_estab,162912,1,2014.1
2013,Minnesota,avg_estab,161643,1,2013.1
2012,Minnesota,avg_estab,164797,1,2012.1
2011,Minnesota,avg_estab,162816,1,2011.1
2010,Minnesota,avg_estab,161554,1,2010.1
2009,Minnesota,avg_estab,164340,1,2009.1
2008,Minnesota,avg_estab,168228,1,2008.1
2007,Minnesota,avg_estab,166902,1,2007.1
2006,Minnesota,avg_estab,171608,1,2006.1
2005,Minnesota,avg_estab,161718,1,2005.1
2004,Minnesota,avg_estab,158521,1,2004.1
2003,Minnesota,avg_estab,156930,1,2003.1
2002,Minnesota,avg_estab,154723,1,2002.1
2001,Minnesota,avg_estab,155121,1,2001.1
2021,Minnesota,avg_estab,184098,2,2021.2
2020,Minnesota,avg_estab,180744,2,2020.2
2019,Minnesota,avg_estab,176898,2,2019.2
2018,Minnesota,avg_estab,173796,2,2018.2
2017,Minnesota,avg_estab,166843,2,2017.2
2016,Minnesota,avg_estab,159743,2,2016.2
2015,Minnesota,avg_estab,162550,2,2015.2
2014,Minnesota,avg_estab,163423,2,2014.2
2013,Minnesota,avg_estab,163282,2,2013.2
2012,Minnesota,avg_estab,160749,2,2012.2
2011,Minnesota,avg_estab,164548,2,2011.2
2010,Minnesota,avg_estab,163081,2,2010.2
2009,Minnesota,avg_estab,162961,2,2009.2
2008,Minnesota,avg_estab,169713,2,2008.2
2007,Minnesota,avg_estab,168830,2,2007.2
2006,Minnesota,avg_estab,173591,2,2006.2
2005,Minnesota,avg_estab,167414,2,2005.2
2004,Minnesota,avg_estab,160526,2,2004.2
2003,Minnesota,avg_estab,158765,2,2003.2
2002,Minnesota,avg_estab,157115,2,2002.2
2001,Minnesota,avg_estab,155954,2,2001.2
2021,Minnesota,avg_estab,186984,3,2021.3
2020,Minnesota,avg_estab,183876,3,2020.3
2019,Minnesota,avg_estab,179244,3,2019.3
2018,Minnesota,avg_estab,176021,3,2018.3
2017,Minnesota,avg_estab,168504,3,2017.3
2016,Minnesota,avg_estab,160668,3,2016.3
2015,Minnesota,avg_estab,158325,3,2015.3
2014,Minnesota,avg_estab,164021,3,2014.3
2013,Minnesota,avg_estab,164898,3,2013.3
2012,Minnesota,avg_estab,161312,3,2012.3
2011,Minnesota,avg_estab,165569,3,2011.3
2010,Minnesota,avg_estab,163761,3,2010.3
2009,Minnesota,avg_estab,162722,3,2009.3
2008,Minnesota,avg_estab,167686,3,2008.3
2007,Minnesota,avg_estab,168102,3,2007.3
2006,Minnesota,avg_estab,169369,3,2006.3
2005,Minnesota,avg_estab,169770,3,2005.3
2004,Minnesota,avg_estab,160990,3,2004.3
2003,Minnesota,avg_estab,158679,3,2003.3
2002,Minnesota,avg_estab,157728,3,2002.3
2001,Minnesota,avg_estab,157192,3,2001.3
2020,Minnesota,avg_estab,186606,4,2020.4
2019,Minnesota,avg_estab,181183,4,2019.4
2018,Minnesota,avg_estab,177599,4,2018.4
2017,Minnesota,avg_estab,170139,4,2017.4
2016,Minnesota,avg_estab,161871,4,2016.4
2015,Minnesota,avg_estab,158961,4,2015.4
2014,Minnesota,avg_estab,164687,4,2014.4
2013,Minnesota,avg_estab,162484,4,2013.4
2012,Minnesota,avg_estab,162475,4,2012.4
2011,Minnesota,avg_estab,165531,4,2011.4
2010,Minnesota,avg_estab,163594,4,2010.4
2009,Minnesota,avg_estab,163108,4,2009.4
2008,Minnesota,avg_estab,168043,4,2008.4
2007,Minnesota,avg_estab,168687,4,2007.4
2006,Minnesota,avg_estab,170560,4,2006.4
2005,Minnesota,avg_estab,170318,4,2005.4
2004,Minnesota,avg_estab,162153,4,2004.4
2003,Minnesota,avg_estab,159461,4,2003.4
2002,Minnesota,avg_estab,157575,4,2002.4
2001,Minnesota,avg_estab,157022,4,2001.4
2021,Minnesota,totwage,44997975377,1,2021.1
2020,Minnesota,totwage,45766301540,1,2020.1
2019,Minnesota,totwage,44451999870,1,2019.1
2018,Minnesota,totwage,43183709643,1,2018.1
2017,Minnesota,totwage,41832430049,1,2017.1
2016,Minnesota,totwage,37998684810,1,2016.1
2015,Minnesota,totwage,37846472787,1,2015.1
2014,Minnesota,totwage,35766744665,1,2014.1
2013,Minnesota,totwage,34156975302,1,2013.1
2012,Minnesota,totwage,33121452600,1,2012.1
2011,Minnesota,totwage,30634033877,1,2011.1
2010,Minnesota,totwage,28564244812,1,2010.1
2009,Minnesota,totwage,29267334244,1,2009.1
2008,Minnesota,totwage,31157480333,1,2008.1
2007,Minnesota,totwage,29814597872,1,2007.1
2006,Minnesota,totwage,28300419247,1,2006.1
2005,Minnesota,totwage,25984384237,1,2005.1
2004,Minnesota,totwage,25488451541,1,2004.1
2003,Minnesota,totwage,24312579086,1,2003.1
2002,Minnesota,totwage,23843962105,1,2002.1
2001,Minnesota,totwage,23981884920,1,2001.1
2021,Minnesota,totwage,44861471762,2,2021.2
2020,Minnesota,totwage,39918992793,2,2020.2
2019,Minnesota,totwage,41770542069,2,2019.2
2018,Minnesota,totwage,40357472079,2,2018.2
2017,Minnesota,totwage,38752028853,2,2017.2
2016,Minnesota,totwage,36680880271,2,2016.2
2015,Minnesota,totwage,35519702577,2,2015.2
2014,Minnesota,totwage,33810534903,2,2014.2
2013,Minnesota,totwage,32663107137,2,2013.2
2012,Minnesota,totwage,31414920172,2,2012.2
2011,Minnesota,totwage,30595197943,2,2011.2
2010,Minnesota,totwage,29138769027,2,2010.2
2009,Minnesota,totwage,28351981287,2,2009.2
2008,Minnesota,totwage,29824440305,2,2008.2
2007,Minnesota,totwage,29370368190,2,2007.2
2006,Minnesota,totwage,27672298539,2,2006.2
2005,Minnesota,totwage,26196015677,2,2005.2
2004,Minnesota,totwage,25370433584,2,2004.2
2003,Minnesota,totwage,24464097962,2,2003.2
2002,Minnesota,totwage,23838318548,2,2002.2
2001,Minnesota,totwage,23626773466,2,2001.2
2021,Minnesota,totwage,45328696254,3,2021.3
2020,Minnesota,totwage,41071780780,3,2020.3
2019,Minnesota,totwage,41980084118,3,2019.3
2018,Minnesota,totwage,40499542825,3,2018.3
2017,Minnesota,totwage,38447481536,3,2017.3
2016,Minnesota,totwage,38758515416,3,2016.3
2015,Minnesota,totwage,35964084865,3,2015.3
2014,Minnesota,totwage,34464125972,3,2014.3
2013,Minnesota,totwage,33014253736,3,2013.3
2012,Minnesota,totwage,31598130672,3,2012.3
2011,Minnesota,totwage,31189411401,3,2011.3
2010,Minnesota,totwage,29258300665,3,2010.3
2009,Minnesota,totwage,27844100585,3,2009.3
2008,Minnesota,totwage,30168642937,3,2008.3
2007,Minnesota,totwage,28908660531,3,2007.3
2006,Minnesota,totwage,27441273191,3,2006.3
2005,Minnesota,totwage,27328292550,3,2005.3
2004,Minnesota,totwage,25566261862,3,2004.3
2003,Minnesota,totwage,24480752962,3,2003.3
2002,Minnesota,totwage,23611265473,3,2002.3
2001,Minnesota,totwage,22993520602,3,2001.3
2020,Minnesota,totwage,46971031925,4,2020.4
2019,Minnesota,totwage,44786281317,4,2019.4
2018,Minnesota,totwage,43150914633,4,2018.4
2017,Minnesota,totwage,41267848570,4,2017.4
2016,Minnesota,totwage,39400727882,4,2016.4
2015,Minnesota,totwage,39285208760,4,2015.4
2014,Minnesota,totwage,36827240573,4,2014.4
2013,Minnesota,totwage,35075324177,4,2013.4
2012,Minnesota,totwage,34377504302,4,2012.4
2011,Minnesota,totwage,32170154448,4,2011.4
2010,Minnesota,totwage,32882657630,4,2010.4
2009,Minnesota,totwage,31044730159,4,2009.4
2008,Minnesota,totwage,31668226581,4,2008.4
2007,Minnesota,totwage,31191809586,4,2007.4
2006,Minnesota,totwage,29507469314,4,2006.4
2005,Minnesota,totwage,28205733742,4,2005.4
2004,Minnesota,totwage,28677357718,4,2004.4
2003,Minnesota,totwage,26237460566,4,2003.4
2002,Minnesota,totwage,25528654954,4,2002.4
2001,Minnesota,totwage,24970861781,4,2001.4
