periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,sEmp
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2016,3,1430215,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2016,4,2831732,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2016,4,1408232,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2016,4,1423500,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2017,1,2794230,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2017,1,1372022,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2017,1,1422208,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2017,2,2815512,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2017,2,1383421,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2017,2,1432091,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2017,3,2894765,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2017,3,1444287,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2017,3,1450477,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2017,4,2867425,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2017,4,1424790,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2017,4,1442635,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2018,1,2820898,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2018,1,1382991,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2018,1,1437907,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2018,2,2837781,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2018,2,1391184,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2018,2,1446598,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2018,3,2925702,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2018,3,1458041,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2018,3,1467661,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2018,4,2881758,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2018,4,1431355,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2018,4,1450403,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2019,1,2839544,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2019,1,1390898,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2019,1,1448646,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2019,2,2860947,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2019,2,1398377,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2019,2,1462570,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2019,3,2939739,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2019,3,1462433,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2019,3,1477306,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2019,4,2905423,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2019,4,1439411,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2019,4,1466012,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2020,1,2858582,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2020,1,1396621,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2020,1,1461962,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2020,2,2689308,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2020,2,1326723,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2020,2,1362585,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2020,3,2662636,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2020,3,1337168,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2020,3,1325469,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2020,4,2696491,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2020,4,1343204,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2020,4,1353287,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2021,1,2670245,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2021,1,1308350,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2021,1,1361896,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2021,2,2687246,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2021,2,1316427,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2021,2,1370818,1
Q,U,C,27001,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,3765,1
Q,U,C,27001,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1598,1
Q,U,C,27001,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2167,1
Q,U,C,27003,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,107980,1
Q,U,C,27003,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,54530,1
Q,U,C,27003,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,53450,1
Q,U,C,27005,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,12177,1
Q,U,C,27005,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,5418,1
Q,U,C,27005,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,6759,1
Q,U,C,27007,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,17553,1
Q,U,C,27007,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,8073,1
Q,U,C,27007,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,9480,1
Q,U,C,27009,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,16501,1
Q,U,C,27009,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,8667,1
Q,U,C,27009,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7834,1
Q,U,C,27011,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1881,1
Q,U,C,27011,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,679,1
Q,U,C,27011,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1201,1
Q,U,C,27013,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,33268,1
Q,U,C,27013,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,15771,1
Q,U,C,27013,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,17496,1
Q,U,C,27015,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,13515,1
Q,U,C,27015,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,6346,1
Q,U,C,27015,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7169,1
Q,U,C,27017,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,12412,1
Q,U,C,27017,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,5653,1
Q,U,C,27017,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,6760,1
Q,U,C,27019,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,31418,1
Q,U,C,27019,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,15524,1
Q,U,C,27019,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,15894,1
Q,U,C,27021,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,9198,1
Q,U,C,27021,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,4676,1
Q,U,C,27021,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,4522,1
Q,U,C,27023,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5728,1
Q,U,C,27023,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2718,1
Q,U,C,27023,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,3010,1
Q,U,C,27025,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,13394,1
Q,U,C,27025,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,5560,1
Q,U,C,27025,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7834,1
Q,U,C,27027,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,17355,1
Q,U,C,27027,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,7695,1
Q,U,C,27027,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,9661,1
Q,U,C,27029,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2529,1
Q,U,C,27029,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1032,1
Q,U,C,27029,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1498,1
Q,U,C,27031,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2273,1
Q,U,C,27031,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,984,1
Q,U,C,27031,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1289,1
Q,U,C,27033,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5116,1
Q,U,C,27033,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2530,1
Q,U,C,27033,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2586,1
Q,U,C,27035,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,25416,1
Q,U,C,27035,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,11176,1
Q,U,C,27035,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,14241,1
Q,U,C,27037,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,170283,1
Q,U,C,27037,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,85539,1
Q,U,C,27037,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,84744,1
Q,U,C,27039,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5084,1
Q,U,C,27039,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3087,1
Q,U,C,27039,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1997,1
Q,U,C,27041,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,16472,1
Q,U,C,27041,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,7779,1
Q,U,C,27041,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,8693,1
Q,U,C,27043,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,4900,1
Q,U,C,27043,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2336,1
Q,U,C,27043,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2564,1
Q,U,C,27045,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5956,1
Q,U,C,27045,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2752,1
Q,U,C,27045,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,3203,1
Q,U,C,27047,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,12197,1
Q,U,C,27047,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,5707,1
Q,U,C,27047,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,6490,1
Q,U,C,27049,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,19380,1
Q,U,C,27049,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,9473,1
Q,U,C,27049,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,9908,1
Q,U,C,27051,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1787,1
Q,U,C,27051,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,779,1
Q,U,C,27051,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1008,1
Q,U,C,27053,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,808894,1
Q,U,C,27053,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,395001,1
Q,U,C,27053,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,413894,1
Q,U,C,27055,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,4720,1
Q,U,C,27055,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2167,1
Q,U,C,27055,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2553,1
Q,U,C,27057,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5348,1
Q,U,C,27057,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2444,1
Q,U,C,27057,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2904,1
Q,U,C,27059,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,9713,1
Q,U,C,27059,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3989,1
Q,U,C,27059,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,5724,1
Q,U,C,27061,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,14952,1
Q,U,C,27061,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,7013,1
Q,U,C,27061,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7939,1
Q,U,C,27063,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5614,1
Q,U,C,27063,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2549,1
Q,U,C,27063,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,3065,1
Q,U,C,27065,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,3412,1
Q,U,C,27065,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1311,1
Q,U,C,27065,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2100,1
Q,U,C,27067,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,21311,1
Q,U,C,27067,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,9730,1
Q,U,C,27067,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,11581,1
Q,U,C,27069,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1415,1
Q,U,C,27069,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,595,1
Q,U,C,27069,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,820,1
Q,U,C,27071,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,5046,1
Q,U,C,27071,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2495,1
Q,U,C,27071,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,2551,1
Q,U,C,27073,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2457,1
Q,U,C,27073,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1169,1
Q,U,C,27073,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1288,1
Q,U,C,27075,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,3986,1
Q,U,C,27075,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2140,1
Q,U,C,27075,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1846,1
Q,U,C,27077,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1396,1
Q,U,C,27077,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,642,1
Q,U,C,27077,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,754,1
Q,U,C,27079,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,7209,1
Q,U,C,27079,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3613,1
Q,U,C,27079,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,3596,1
Q,U,C,27081,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1741,1
Q,U,C,27081,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,734,1
Q,U,C,27081,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1007,1
Q,U,C,27083,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,14121,1
Q,U,C,27083,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,6593,1
Q,U,C,27083,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7528,1
Q,U,C,27085,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,15149,1
Q,U,C,27085,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,7529,1
Q,U,C,27085,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,7620,1
Q,U,C,27087,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2049,1
Q,U,C,27087,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,910,1
Q,U,C,27087,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1139,1
Q,U,C,27089,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1991,1
Q,U,C,27089,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,921,1
Q,U,C,27089,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1071,1
Q,U,C,27091,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,8536,1
Q,U,C,27091,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3988,1
Q,U,C,27091,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,4548,1
Q,U,C,27093,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,6168,1
Q,U,C,27093,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,2973,1
Q,U,C,27093,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,3196,1
Q,U,C,27095,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,8705,1
Q,U,C,27095,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3354,1
Q,U,C,27095,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,5351,1
Q,U,C,27097,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,10190,1
Q,U,C,27097,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,4504,1
Q,U,C,27097,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,5685,1
Q,U,C,27099,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,16052,1
Q,U,C,27099,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,7770,1
Q,U,C,27099,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,8282,1
Q,U,C,27101,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2735,1
Q,U,C,27101,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1177,1
Q,U,C,27101,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1558,1
Q,U,C,27103,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,13050,1
Q,U,C,27103,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,6129,1
Q,U,C,27103,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,6921,1
Q,U,C,27105,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,10239,1
Q,U,C,27105,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,5314,1
Q,U,C,27105,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,4925,1
Q,U,C,27107,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,1573,1
Q,U,C,27107,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,664,1
Q,U,C,27107,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,910,1
Q,U,C,27109,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,84462,1
Q,U,C,27109,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,37172,1
Q,U,C,27109,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,47291,1
Q,U,C,27111,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,20596,1
Q,U,C,27111,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,9192,1
Q,U,C,27111,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,11404,1
Q,U,C,27113,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,7882,1
Q,U,C,27113,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,3660,1
